sentence	pronoun	candidates	label	correct	right	left	split
My parents gave the neighbors tickets to Six Flags since they needed them.	they	['My parents' 'the neighbors']	1	the neighbors needed them.	needed them.	My parents gave the neighbors tickets to Six Flags since	train
My parents gave the neighbors tickets to Six Flags since they had extras.	they	['My parents' 'the neighbors']	0	My parents had extras.	had extras.	My parents gave the neighbors tickets to Six Flags since	train
The police called headquarters for help and they refused.	they	['The police' 'headquarters']	1	headquarters refused.	refused.	The police called headquarters for help and	train
The police called headquarters for help and they continued to fight the criminals.	they	['The police' 'headquarters']	0	The police continued to fight the criminals.	continued to fight the criminals.	The police called headquarters for help and	train
The advisor told the President that he should declare war.	he	['The advisor' 'the President']	1	the President should declare war.	should declare war.	The advisor told the President that	train
The advisor told the President that he was resigning.	he	['The advisor' 'the President']	0	The advisor was resigning.	was resigning.	The advisor told the President that	train
The elephant trampled a fish and it died.	it	['The elephant' 'a fish']	1	a fish died.	died.	The elephant trampled a fish and	train
The elephant trampled a fish and it continued on its way.	it	['The elephant' 'a fish']	0	The elephant continued on its way.	continued on its way.	The elephant trampled a fish and	train
The children egged the neighbors because they had no candy.	they	['The children' 'the neighbors']	1	the neighbors had no candy.	had no candy.	The children egged the neighbors because	train
The children egged the neighbors because they had no dignity.	they	['The children' 'the neighbors']	0	The children had no dignity.	had no dignity.	The children egged the neighbors because	train
The model frowned at her manager because she forgot to call.	she	['The model' 'her manager']	1	her manager forgot to call.	forgot to call.	The model frowned at her manager because	train
The model frowned at her manager because she was sad.	she	['The model' 'her manager']	0	The model was sad.	was sad.	The model frowned at her manager because	train
William enforced a mandatory choir practice for Ryan since he is struggling with his singing abilities.	he	['William' 'Ryan']	1	Ryan is struggling with his singing abilities.	is struggling with his singing abilities.	William enforced a mandatory choir practice for Ryan since	train
William enforced a mandatory choir practice for Ryan since he is a mean teacher.	he	['William' 'Ryan']	0	William is a mean teacher.	is a mean teacher.	William enforced a mandatory choir practice for Ryan since	train
The counselor gave the student advice because he is on the wrong track in life.	he	['The counselor' 'the student']	1	the student is on the wrong track in life.	is on the wrong track in life.	The counselor gave the student advice because	train
The counselor gave the student advice because he feels obligated to help him.	he	['The counselor' 'the student']	0	The counselor feels obligated to help him.	feels obligated to help him.	The counselor gave the student advice because	train
Ryan won the presidency against Tom because he feels he was the better candidate.	he	['Ryan' 'Tom']	0	Ryan feels	feels	Ryan won the presidency against Tom because	train
Ryan won the presidency against Tom because he was not fit for office.	he	['Ryan' 'Tom']	1	Tom was not fit for office.	was not fit for office.	Ryan won the presidency against Tom because	train
Jack raced past Dan since his car is much faster.	his	['Jack' 'Dan']	0	Jack car is much faster.	car is much faster.	Jack raced past Dan since	train
Jack raced past Dan since his car is old.	his	['Jack' 'Dan']	1	Dan car is old.	car is old.	Jack raced past Dan since	train
The mother encouraged her daughter to sing a difficult song so she would be challenged.	she	['The mother' 'her daughter']	1	her daughter would be challenged.	would be challenged.	The mother encouraged her daughter to sing a difficult song so	train
The mother encouraged her daughter to sing a difficult song so she could see her become better.	she	['The mother' 'her daughter']	0	The mother could see her become better.	could see her become better.	The mother encouraged her daughter to sing a difficult song so	train
John visited his son so he could spent time with him.	he	['John' 'his son']	0	John could spent time with him.	could spent time with him.	John visited his son so	train
John visited his son so he would feel loved.	he	['John' 'his son']	1	his son would feel loved.	would feel loved.	John visited his son so	train
The pilots saved the passengers because they had a civic duty.	they	['The pilots' 'the passengers']	0	The pilots had a civic duty.	had a civic duty.	The pilots saved the passengers because	train
The pilots saved the passengers because they begged them to.	they	['The pilots' 'the passengers']	1	the passengers begged them to.	begged them to.	The pilots saved the passengers because	train
Kurt sang to Jon since he wanted to be the lead singer.	he	['Kurt' 'Jon']	0	Kurt wanted to be the lead singer.	wanted to be the lead singer.	Kurt sang to Jon since	train
Kurt sang to Jon since he was the judge.	he	['Kurt' 'Jon']	1	Jon was the judge.	was the judge.	Kurt sang to Jon since	train
Stacy lied about partying to her mom, but she found out.	she	['Stacy' 'her mom']	1	her mom found out.	found out.	Stacy lied about partying to her mom, but	train
Stacy lied about partying to her mom, but she feared that she may be caught.	she	['Stacy' 'her mom']	0	Stacy feared that	feared that	Stacy lied about partying to her mom, but	train
Janet Jackson is more popular than Latoya Jackson since she is the better performer.	she	['Janet Jackson' 'Latoya Jackson']	0	Janet Jackson is the better performer.	is the better performer.	Janet Jackson is more popular than Latoya Jackson since	train
Janet Jackson is more popular than Latoya Jackson since she does not have as many followers.	she	['Janet Jackson' 'Latoya Jackson']	1	Latoya Jackson does not have as many followers.	does not have as many followers.	Janet Jackson is more popular than Latoya Jackson since	train
Stephen Colbert is funnier than John Stewart since his comedy is better.	his	['Stephen Colbert' 'John Stewart']	0	Stephen Colbert comedy is better.	comedy is better.	Stephen Colbert is funnier than John Stewart since	train
Stephen Colbert is funnier than John Stewart since his show has less viewers.	his	['Stephen Colbert' 'John Stewart']	1	John Stewart show has less viewers.	show has less viewers.	Stephen Colbert is funnier than John Stewart since	train
Rick Davis campaigned for John McCain since he could best support him in office.	he	['Rick Davis' 'John McCain']	0	Rick Davis could best support him in office.	could best support him in office.	Rick Davis campaigned for John McCain since	train
Rick Davis campaigned for John McCain since he was the best man for office.	he	['Rick Davis' 'John McCain']	1	John McCain was the best man for office.	was the best man for office.	Rick Davis campaigned for John McCain since	train
Simon Cowell makes fun of Ryan Seacrest since he feels superior.	he	['Simon Cowell' 'Ryan Seacrest']	0	Simon Cowell feels superior.	feels superior.	Simon Cowell makes fun of Ryan Seacrest since	train
Simon Cowell makes fun of Ryan Seacrest since he is viewed as feminine.	he	['Simon Cowell' 'Ryan Seacrest']	1	Ryan Seacrest is viewed as feminine.	is viewed as feminine.	Simon Cowell makes fun of Ryan Seacrest since	train
The poor steal from the rich because they need more money.	they	['The poor' 'the rich']	0	The poor need more money.	need more money.	The poor steal from the rich because	train
The poor steal from the rich because they possess more items of value.	they	['The poor' 'the rich']	1	the rich possess more items of value.	possess more items of value.	The poor steal from the rich because	train
The big brother always beats the little brother at board games since he was older and wiser.	he	['The big brother' 'the little brother']	0	The big brother was older and wiser.	was older and wiser.	The big brother always beats the little brother at board games since	train
The big brother always beats the little brother at board games since he is not very good at games.	he	['The big brother' 'the little brother']	1	the little brother is not very good at games.	is not very good at games.	The big brother always beats the little brother at board games since	train
The salesman sold a hot tub to the customer because he was looking for something to use and soak in.	he	['The salesman' 'the customer']	1	the customer was looking for something to use and soak in.	was looking for something to use and soak in.	The salesman sold a hot tub to the customer because	train
The salesman sold a hot tub to the customer because he was trying to sell his products.	he	['The salesman' 'the customer']	0	The salesman was trying to sell his products.	was trying to sell his products.	The salesman sold a hot tub to the customer because	train
Jennifer Aniston does not like Angelina Jolie because she stole her boyfriend.	she	['Jennifer Aniston' 'Angelina Jolie']	1	Angelina Jolie stole her boyfriend.	stole her boyfriend.	Jennifer Aniston does not like Angelina Jolie because	train
Jennifer Aniston does not like Angelina Jolie because she is jealous of her relationship.	she	['Jennifer Aniston' 'Angelina Jolie']	0	Jennifer Aniston is jealous of her relationship.	is jealous of her relationship.	Jennifer Aniston does not like Angelina Jolie because	train
The US army fought the Taliban because they are trying to prevent terrorism.	they	['The US army' 'the Taliban']	0	The US army are trying to prevent terrorism.	are trying to prevent terrorism.	The US army fought the Taliban because	train
